alphas,beta,steps,years,error_alpha,error_beta,scalar,min_value
0.19826734640028648,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
0.0016424559774515816,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
0.9583334225894475,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
0.686786853685488,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
0.00032168952425831574,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
0.2568482532978158,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
0.03160402544617936,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
0.0012493996951124567,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
0.13619372909638763,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
0.0008035116886919066,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
0.14797978532189185,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
0.15412271813867698,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
0.0494592314204279,1.4300076525647197e-10,50,21,0.12880405920268947,0.0017660921194224688,100,0.01
